제목,장점,단점,경영진에게 하고싶은 말
하정말신입이면가세요 경력이면 정말정말 말리고싶음 경력자의 무덤,체계가 있는것같다. 대표가 비전을 제시한다. 휴가 사용이 자유롭다. 개발자를 우대하려고 노력하는척 한다.,신입은 모르겠지만 경력자면 정말 말리고 싶네요 부바부가 심하긴 한데 이럴수가 있나 싶을 정도로 실권자들의 텃세가 심합니다. 님호칭 문화가 있긴한데 정말 쓸모가 없어요 다 님으로 호칭통일 하던지 실장 팀장 이런 사람들만 직급이 있어서 실권자들이 엄청난 파워를 가지고있고 눈밖에나면 이게 회사인가 싶을정도의 대우를 받게될지도 모릅니다. 이런걸 한두번 본것도 아니고 경력으로 이직하시는 분들이 적응못하고 다 똑같이 말해요,수평적인척 하지만 부서장의 세상. 결국 변함없는 탑다운 꼰대 문화
진리의 사람바이사람 부서바이부서입니다.,재택근무와 오피스근무를 섞어서 합니다. 부서마다 다른걸로 알고 있긴 합니다.,좋은 사람도 많지만 아닌 사람들도 많다는거. 아닌 사람들과 일하는건 압박감이 상당하네요.,뚜렷한 비전제시가 있었으면 좋겠습니다.
성과로 보람을 크게 느끼기 어려울 때도 많지만 성향에 따라서는 만족도가 아주 높을 회사,연차 사용이 쉬움 자율적인 근무 분위기 주변 환경이 좋음,대중교통 불편 근처에 적당한 점심식사 해결할 곳이 부족,조금 더 구체적인 로드맵을 보여주고 구성원들이 공감해서 의쌰의쌰 하는 분위기로 만들어주세요
워라밸도 옛말인듯.. 물갈이된 리더급들이 개판이라 워라밸도 옛말임,"팀바이팀으로 워라밸 즐길수있음, 같이 일하는 사람들의 인성이 대체로 괜찮음","리더급들의 실력이 의심되며, 일을안함 책임회피하고 몸사리는건 수준급임 이 회사에서만 10년 이상된 사람들은 대부분 그렇게 버텨서 10년째 다니는것이라고 보면됨",리더급이 관리만 하면 잘된다고 생각하지 마시고 리더에게도 실무를 좀 시키세요. 상황이 어찌 돌아가는지도 모르고 실무 프로세스도 모르는 리더급들이 무슨 관리를 할수있을거라고 생각하시는지?
특별하게 나쁜 사람 없이 지낼 수 있지만 체계적이지 않아 혼란스럽다. 한사람에게 여러가지 일을 시켜서 전문가로 성장하기는 애매,개발자들 실력이 좋다. 여러가지 언어와 시스템들이 있어서 경험치를 올리는데 도움이 된다.,레거시 관리가 너무 많아서 새로운 일을 하기가 힘든 구조. 의사결정이 불투명하다,비전도 없고 어떤일을 하려는지 방향성이 없어서 눈앞에 주어진 일하기 급급하다보니 모두가 의욕이 없는 상태인걸 경영진만 모르는듯하다
알툴즈 고인물들이 젊은 척하면서 꼰대질하는 곳 보여주기식 변화가 아닌 근본의 변화가 필요,반반차? 칼퇴근? 야근식대 만원. 임원급들은 성격 다들 이상함,소통안되고 업무속도가 느림. 새로운 서비스를 시도하지만 잘못된 타겟팅으로 서비스 망함각,아침조회가 직원과의 소통이 아님. 보여주기식이 아닌 근본적인 변화를 해볼 것
좋았고 사람들이 순하고 위로가 되었다. 대부분이 좋은 사람들.,모나지 않았다. 다급하긴 해도 두둑한 호주머니 덕분에 계속 시도하고 접고를 반복했다. 적당한 분위기의 회사다.,성장을 하기에는 천장에 다닿아버린 느낌이어서 답답한 기분이 든다. 어느 회사나 그럴지도 모른다.,각자 역할에 충실하고 잘하는 것 자체가 어렵습니다. 각자 건강하게 삽시다. 몸도 마음도 정신도 건강하게 맑게 자신있게 떳떳하게!
사람 귀한줄 모르는 회사. 내가 생각했던 중소기업 그 자체,연차를 눈치 안보고 쓸수 있음. 회사랑 별개로 선한 사람들이 많고 좋은 사람도 많음.,관리자가 관리자의 역할을 제대로 수행하는건지 의문이 듬. 구성원의 성장을 위해서 노력하기보다 의심하고 눈치 보이게 만듬. 숨 막히는 분위기를 분기마다 조성하지만 이미 익숙해진 구성원들은 한귀로 흘림. 갑자기 왜 저러지? 싶다가도 다들 무시하는 분위기. 사람 귀한줄 모르고 푼돈 아끼려고 하는게 눈에 보임. 조직에 대한 프라이드를 느낀적이 단 한번도 없음. 구성원들도 이미 우리 조직은 약하니까..힘없으니까~~라고 생각하는 분위기.,구성원들을 위해 복지나 보상을 좀 더 많이 주면 좋을 것 같음
"다양한 툴의 제품을 가지고, 어느정도 네임밸류가 있지만 그걸 참 활용못하는 아쉬움이 큰 회사",비교적 수평적인 분위기. 젊은 직원이 많아서 분위기가 좀 다름,"직원이 젊다보니, 반대로 질서와 체계가 상대적으로 부족한편임.",소수의 의견에 좌지우지 되기보단 다수의 의견의 흐름을 가지고 경영하시길
게임쪽 한해 적습니다. 비전과 잠재력이 없는 곳입니다. 다들 공무원 처럼 최소한의 할일만 하고 그 이상의 노력을 하지 않습니다.,체계 프로세스는 잘 잡혀 있어서 신입이 일 처음 배우기엔 괜찮습니다,회사에서 비전을 제시하지도 않고 업계 대비 처우도 좋지 않은 편입니다. 경영진이 무능하고 고인물이라 발전은 없고 쇠퇴만 남은 회사라고 봅니다.,바뀌십시오. 우물안의 개구리처럼 좁은 곳만 언제까지 보고 있을겁니까
다니기 괜찮았는데 사람들 물갈이 되면서 불안해짐,"연차 쓰기 좋음, 평등하게 일하려는 분위기, 수평적 문화를 만들려는 분위기","목적 없이 일함, 성과평가제도가 미비함.","좋은 경영진을 뽑아줬으면, IT기업치고는 올드한 경영 스타일이 있음"
개발자 대우는 정말 좋습니다 그외 직무는 잘 모르겠어요,회사가 힘든 거 같긴한데 그래도 직원들 챙기려는게 보여요 최근 기사 보니 전직원 연봉 인상도 해줬다는데 보기 좋네요,저 있을때는 연봉이 단점이었는데 지금은 잘 모르겠네요 ....,미래 먹거리를 잘 찾으신 거 같은데 그게 수익이 날려면 영업을 잘해야할 거 같아요
"맛있는 저녁 간식 제공 해주는 특혜가 있는 회사였고, 팀 별로 차이는 있지만 게임개발팀의 인력이 보통 1팀당 1~3명이라 다양한 업무를 해야함","4시 즘 1층 로비에 간식 뷔페가 차려져서 직원이라면 마음껏 가져갈 수 있었으며, 야근할때도 든든하게 하라는 회사의;;; 좋은 배려",점점 복지가 줄어들고 결국 간식 제도가 없어졌음.... 승진의 희망이 없어보였고 팀원이 누구냐에 따라 피로도가 많은 편임..,"신규 사업에 적극적으로 투자하고 , 알약 알집으로 성공했지만 유료화 모델이 딱히 없어보여서 매출의 성장이 좀 어려워보임 이 부분에 대한 해결이 필요함"
좋은 사람들이 많이 모여있어 편하게 일하기 좋은 곳,연차를 눈치보지 않고 쓸 수 있음. 근속연수에 따른 보상 휴가 제공. 워라밸 보장. 다양한 부서 사람들과 소통이 원활함.,다양한 경험이나 성장 같은 거는 부족한 편. 평가 시스템이 잘 바뀌는 편. 조직장에 따라서 평가가 천차 만별,합리적인 복지 및 보상 체계를 만들어 줬으면 좋겠음.
그냥 무난히 다니기 좋아요 괜찮음 좋아요 평범하게,복지가 좋고 근무 형태가 쾌적해서 좋음 터치가 많이 없음,수직관계고 내부 정치가 심함,꼰대같은 마인드는 고쳤으면 좋겠음 그것만 아니면 모두 괜찮음
경력쌓기에 좋은곳 오래일하기엔 부족한 기업,복지에 힘쓰려는 대표의 모습이 보임. 다양한 복지제도. 코로나19로 인한 재택근무. 탄력근무제,비효율적인 업무환경. 계약직은 정규직이 될 수 없음. 야근 많음.,합리적인 복지가 필요함. 계약직도 정규직으로 전환될 수도 있겠다는 희망고문 안했으면 좋겠음.
주니어에게 다양한 기회가 주어지는 곳,다양한 서비스를 하다보니 연차가 적은 주니어에게도 신규 프로젝트 기회가 주어지는 점이 좋았다. 규모에 비해 가족같은 분위기로 직원들간에 서로 유대감이 있다.,부서에 따라 다르지만 야근이 꽤 잦은 편이었다. 직원들이 대체로 젊은편이라 이직이 잦은 편인 것 같다.,직원들에게 명확한 비전을 제시해주고 동기부여를 해주면 좋을 것 같다.
기업 위치가 너무 나쁨 주위환경도 별로임 지하에 이상한거 설치되어불편함,연차는 내맘대로 전사재택근무중이라 집에서 편하게 일할수 있는것 빼고없음,무엇을 추구하고 사업을 하려고 하는지 모르겠음 그냥 다른계열사의 이윤으로 기생하는듯.. 다른 계열사랑 소통을하는지도 의문임,신규사업 한다고 하는것 같은데 방향성이 맞는지 모르겠고 계열사와 잘소통하길..
어디로 가고 있는 회사인지 모르겠다.. 잘 모르고 입사했다면 적당한 시기에 이직하세요.,"장점이 있을까? 그나마 알약, 알집으로 회사인지도가 있다는거?","박봉, 내부 정치 심함, 부서간 다툼 많음, 대표 및 임원들의 무능함.. 등등등",이제는 바라는 것도 없음. 투자자들만 불쌍함. 이대로 가단 다 망합니다~ 정신차리세요~
개발자가 대우받으면서 보람있게 일할 수 있는 기업,회사 내에 카페테리아가 있어 비교적 저렴한 가격에 복지를 누릴 수 있음,다른 경쟁사에 비해 기업이 보수적인 편이다.단점이라고 보긴 애매하지만 IT기업이다보니 일반 사무직이 성장하기가 조금 어려운 편이다.,게임개발 외 다른 기술도 보유하고 있는 만큼 좀 더 공격적으로 시장을 공략한다면 더 좋은 회사가 될 수 있을 것 같습니다.
"안정적인 분위기, 친절한 동료들이 장점인 회사, 앞으로의 성장도 기대할 수 있다","소프트웨어 회사로서의 장점도 있고, 체계적인 관리가 이루어진다는 점도 경쟁력이 있다고 보인다.","은근히 보수적이고, 은근히 위계질서가 있는 느낌의 조직, 창의력은 좀더 적극적인 사기고양에서 자유롭게 생겨날 수 있을 것이다.","오래된 직원의 관습만이 아닌, 새로 합류하는 직원들에게 좀더 회사의 장점과 보상을 확실하게 보여줄 필요가 있다."
동료들 좋음 착함 워라밸은 자기 챙기기 나름 전망은 잘모르겠음,눈치안보고 연차쓸수있다 자가결제가 가능함 재택 근무가 활성화되어있다,일단 연봉 너무 짬,신규사업의 방향성이 안보임 명절 상여금이 있었으면 좋겠다
개발자 중심으로 돌아가는 회사 개발자가 실력을 쌓으면 외부로 많이 나감..,기업문화를 중요시 하고 직원 눈치를 많이 보는 회사라서 좋은점이 있음,회사를 이끌어가는 개발자들이 한꺼번에 우수수 들어와서 우수수 빠져나감,젛은 기업
"주니어 기획자는 다양한 경험 쌓으면서 배우기 좋은 회사, 제품 프로세스의 AtoZ를 경험해볼 수 있음",제품 프로세스의 전반적인 것들을 다 담당해보기 때문에 포트폴리오 쌓게 좋음. 작년 11월부터 전사 재택근무 진행중,기획자가 많이 없어서 혼자 동시에 많은것을 하게됨. 제품 퀄리티에 신경 쓰기 보다는 일을 쳐내기에 급급함,실현 가능한 목표 설정과 적절한 보상
회사 이미지나 규모대비 체계가 없는 회사 월급 안밀리고 잘나옴 2-3년 다니고 이직하기 좋은회사,연차사용 워라벨 월급잘나옴 팀 잘만 걸리면 월급루팡 가능 이력 부족시 2년정도 근무후 몸값높여 거쳐가기 좋은회사~,오래 근무하는 사람이 없는거 같음. 능력있는 직원들은 다 나가는것으로 보임,그냥 이대로~ 쭈욱~~~ 다니게 해주세요~~~ 이스트 화이팅
그저그런 회사 복지포인트 휴가자기결재 재택근무(팀바팀),그저그런 회사 복지포인트 휴가자기결재 재택근무(팀바팀),꼰대들 그득함 일을 위한 일하는 사람 천지 성장이 없음 일잘하면 일더줌,몰려다니며 정치싸움 밥그릇 싸움 그만하고 일좀하시길 책임도 좀 질줄 알고
이스트는 추천드리지만 계열사는 비추드립니다ㅠ 계열사의 사장에 따라서 회사 분위기가 완전히 달라지는데.. 감정적으로 소통한다고 느끼는 때가 좀 있습니다.,연차나 소통에 있어서 눈치 보지 않고 편하며 실수에 너그럽습니다,이건 어딜가나 마찬가지지만 감정적인 일부 상사가 있는데 그 분들을 잘 피하는 방법이 필요합니다ㅎ,계열사 포함 모두 같은 방식으로 운영하고 계열사별로 별도 움직이지 않고 같이 하면 우리 모두 하나라는 느낌이 들 수 있을 것 같습니다
우호적인 지원 부서의 분위기로 일하기 편한 환경이 되어 있었음.,"연차 사용이 자유롭게 가능하고, IT기업의 특성상 자유로운 복장이 되어있음.",헤드가 바뀌면서 기업 분위기가 많이 바뀌었다고 전달받음. 기존에 있던 인력들 이탈도 점점 생겼었다. 그러다보니 개발쪽 부서가 조금 어수선한 분위기,직원들이 하고자 하는 방향과 오너가 원하는 방향이 어느정도 일치되었으면 좋겠다.
신입한테는 좋을수 있겠지만 오래 다닐수록 고이기 좋은 회사,사람들이 날서있지 않다는거는 장점 연차같은거 자유롭게 사용가능하나 이거는 팀바팀이좀 있긴한듯,오래 다닐수록 성장한다는 느낌을 받을 수 없음 제품 자체도 그렇고 개인적인 성장도 이루어지지 않음,다른 회사들은 요즘 연봉 인상한다고 말 많이 하는데 이스트는 어떻게 되는지요
개발자에게 모든 파워가 집중 되는 개발자만을 위한 회사. 자유로운 근무와 내부에 카페테리아도 있기 때문에 업무는 편하게 할 수 있음,서울 서초 한복판 번듯한 사옥을 가지고 있고 계열사가 많은 빛깔 좋은 회사 계열사가 많고 젊은 회사이기 때문에 트렌드를 따라가려는 노력을 많이 하는 편,조직 개편이 항상 있기 때문에 어느 순간 내가 어느 팀 소속인지도 잊을 정도로 다이나믹 함. 이로 인해,신규 사업 추진 시 미래도 바라 보고 틀을 짜주기를 바라며 탄탄한 회사가 되기 위해서는 다각적인 시각이 필요합니다
워라벨 지키면서 욕심 없이 다니기에는 나쁘지 않은 회사,"워라벨 좋음, 연차 휴가 쓰는데 눈치 안봄 의외로 수평적인 관계",임원진이 돈 벌 생각이 있는건지 모르겠음 방향성 제시를 못함,신규 수익 창출 모델 발굴좀 했으면 좋겠음 개발 환경 개선도 부탁
성장은 한 곳. 하지만 앞으로는 ? 의문이 있지만 현재로썬 다니기 나쁘지 않음,연차 자유로움 - 생각보다 쾌적한 오피스 - 아침 토스트 제공? - 복지포인트,생각보다 수직적인 업무 프로세스 - 하고 싶은 말을 두번정도 삼켰다가 말 해야함. - 이랬다 저랬다 바뀌는 경영 방침,음..네. 그렇습니다. 화이팅입니다.
개발자 커리어를 시작하기 좋은 기업. 개발 사관학교라는게 어울리는 회사,워라밸을 지킬수있는 업무 강도. 복지포인트를 통해 가지고 싶은거 편하게 사기. 배울점이 많은 좋은 동료들,업계 대비 낮은,직원들의 불만이 날이 갈수록 높아지는데 이 상황에 대해서 적극적인 소통을 해줬으면 함.
커리어에 무난한 중소기업. 전형적인 한국기업.,사내 카페가 있어서 좋았다. 자체 사옥이 있어 편리한 점은 분명 존재했다.,당시 9시-6시 출퇴근. 내부 포탈로 총 지각 시간을 보여지고 순위까지 보였다.,직원들과의 커뮤니케이션을 좀 더 열심히 해줬으면 했다.
"비개발자가 차등대우 받으며 일의 성취나 의미,개인의 성장과는 거리가 멀게 돈과 시간을 교환하며 소모적으로 인생을 보내는 곳",하얀색 A4지가 탕비실에 있습니다 복도에 형광등이 모두 잘 들어옵니다 정수기에서 따뜻한 물이 제공됩니다,사장님이 문제인 회사 타이틀은 전문경영인인데 경영을 하나도 못함 자기 주식과 스톡만 예찬하고 다님 자존심이 세 비난을 받으면 못견뎌하고 개꼰대라 토의나 협의의 방식으로는 올바른 의사결정에 도달할 수 없음 기본적인 직원에 대한 신뢰보다는 의심이 바탕에 깔려있어,개인회사만도 못한 경영 방식에서 벗어나 정상적인 경영을 요청 드립니다
편하고 워라밸을 지키면서 다닐 수 있는 회사.,수평적이고 연차를 자유롭게 사용할 수 있음. 일단 편하게 회사 다니기는 좋음.,말 그대로 편하게 다니기 좋아서 그 생활이 편해지기 시작하면 계속 이렇게 지내면 미래에 괜찮을지 걱정이 생기기 시작함.,"실질적으로 직원들이 원하는 게 무엇인지, 제대로 보상을 하고 있는지 살펴보는 것이 좋을 것 같음."
워라벨 보장하는 공무원 마인드 회사 생각보다 사원들 연령대가 많이 어림 (20-30대초 위주),눈치안보고 쓰는 연차 및 근태에 따른 안식휴가부여 및 정시퇴근 가능한 얼마안되는 워라벨 보장 it회사,밥벌이가 없고 직원들이 다들 공무원 마인드라 적극성이 많이 떨어짐,코로나 잠잠해 지면 카페테리아 다시 열어주세요
개발자를 대우해 주지만 실력을 키워줄만한 곳인지는 의문,"수평적인 조직 문화, 워라벨을 지키지 좋음, 개발자를 많이 배려해줌","개발자를 성장시는 개발 문화가 없음, 퇴사율이 높아보임",경영진을 대해본 경험이 없어서 바라는 점을 꼽기가…
다닐땐 괜찮은 회사였지만 웃으며 그만두는 동료를 본적은 없다.,"재직 당시, 젊고 앞으로 전진하는 느낌의 회사라고 생각했다.",막무가내식의 전진이었다고 느낌. 시장에 없던 제품 또는 가장 뛰어난 제품을 위한 전진이 아니었다.,"그만두는 동료와 남겨지는 동료 모두, 회사에 부정적인 감정적인 소모를 줄이는 인간미."
기업의 문화가 오래된 느낌으로 정체된 느낌을 받을 수 있음. 사람들은 모두 좋으나 진취적인 성향이 부족,전반적인 나이대가 어린 편이고 분위기가 강압스럽지 않음. 그리고 개발자 위주의 정책과 문화는 잘 갖춰짐,기업의 덩치가 커지면서 기업 내 사내 정치가 생김. 그로 인한 피해자와 파벌의 형성이 보임. 또한 개발자 이외 직군에 대한 배려가 부족하고 전반적으로 한팀이 아닌 각 직군에서 빌려와야하는 구조로 되어있음,모험적인 투자와 성격이 필요. 카피캣 전략이 아니라 모험적이고 도전적인 성향이 부족. 신규 사업군에 대한 투자 또는 개발이 실제로 바라는 것보다 덜 진취적임. 분명 좋은 문화와 재능있는 직원들이 있기에 이 부분에 대한 개선 필요.
"다양한 개발 경험을 할 수 있으며, 팀에 따라 워라밸이 좋은 회사. 중소기업 치고는 높은 연봉이지만 업계 대비 낮은 수준","팀바팀이지만 대부분의 팀이 수평적이며 좋은 분위기를 가지고 있음. 개발자를 대우를 잘 해주고, 다양한 업무를 경험할 수 있음. 사원이 PM을 맡는다던가 젊은 사람이 부서장을 맡는 등 직책을 맡을 수도 있음. 팀에 따라서 워라밸을 즐길 수 있음.","회사에서 오래 일한 사람들(속칭 고인물)과 신입들 밖에 없는 회사. 다양한 업무 경험을 할 수 있지만 업무 과중과 잦은 야근으로 이어질 수 있으며, 나름 오래 된 회사답게 레거시 코드들이 많음",잘 되는 서비스에 투자를 해줬으면 함. 인력은 적은데 하는 서비스들이 너무 많아서 잘 되는 서비스에 집중을 했으면 좋겠음.
스스로 발전하고자 하는 마음만 있다면 기회를 주는 회사,일정에 따라 불가능한 경우도 있지만 특별한 일이 없다면 연차 사용이 자유롭고 분위기도 수평적임,깨어있는 기업인 느낌안에 꽉 막힌 분위기를 느낄 수 있음,회사 발전 방향성을 구체적으로 보여주세요
서로 챙기는 기업 문화가 좋아보였고 그 당시는 뭔가 잘나가는 회사였는데 지금은 어떤지 모르겠다,거의 십년 전임에도 불구하고 워라밸을 챙기는 문화가 있었고 (개발자아님) 아르바이트 였지만 팀원들이 잘 챙겨줘서 아직도 이미지가 좋은 회사다.,알약으로 번 돈을 다른 곳에 투자하는 것 같은데 성공 가능성은 희박해 보인다는 점. 좀 더 가능성이 있는 곳에 투자할 필요가 있어보인다,예전처럼 잘 나가는 벤처의 느낌은 없지만 앞으로도 좋은 기업으로 성장하시길 응원합니다.
아르바이트였는데 재택근무에 노트북까지 대여해주셔서 정말 좋습니다.,짧은 기간이지만 연차도 쓸수 있어서 좋았습니다. 반차도 가능하고 시급이 높아서 정말 좋았습니다.,1달 반가량 근무하면서 불편한 점은 딱히 없었습니다. 알바하는데 업무에대한 메뉴얼이 아직 탄탄하지 않은듯 하네요.,앞으로도 좋은 자리가 많아지길 빕니다.
1. 개발자가 대우를 잘 받을 수 있다고 생각 함. 2. 성숙한 기업문화를 가지고 있다고 생각 함.,업무가 상당히 자유스럽다. 자유롭다는 것은 자기가 해야 할 일을 해내는 이들에게 부여가 된다. 간혹 난의도가 높은 업무들이 오지만 함께 해결하려고 하는 습성이 있다.,"업계 평균 연봉보다 높다고 생각을 한다. 나의 입장에서는 평균보다 낮았다. 부족한 점을 스톡옵션 (구매권)으로 채워주는데, 매력적인 가격이 아니다.","그동안 감사했고, 앞으로도 생각하겠습니다. 저에게 일생 최고의 회사였습니다."
어느 개발사가 그렇듯 개발자가 갑인 회사 정치알력싸움이 상당한 회사,야근하면 다음날 지연출근 제도가 있습니다 야근을 많이 했었죠,나이 많아지면 자동 승진인데 뭣하러 이런 걸 만들었는지 알 수 없음,너무 돈 줄일 생각만 하지 말고 인프라에도 투자를 좀 해 주세요
외부에서 보는것과는 달리 보수적 집단입니다.. 이,짜잘한 복지 제도들이 있긴 한데 기존 오래다니신 직원들 대상이 많습니다,월급 및 성과금이 아주 적습니다. 돈이없어서 인지 왜인지,앞으로. 성장하는 기업이 되었의면 좋겠습니다. 내부 시스템 투자도
전형적인 한국형 수직구조 회사입니다.,비개발자 혹은 개발자라면 본인이 월급을 받는 만큼만 일 한다,"개발자는 받는 만큼 일하고, 칼퇴 가능하며 회사에서 엄청 밀어준다. 하지만. 비개발자는 개발자를 떠받들어야하는 구조이다",개발자와 비개발자 차이를 너무 티내는거 아닌가요
사람만 아니면 평이했던 경험. 규모는 작지만 나름 아이티 기업 느낌도 나고 수평적인 분위기도 분명 존재함,몇몇 빼놓곤 분위기 괜찮고 근무환경 나쁘지 않음. 카페테리아 있고 복지에 신경쓰는 티도 가끔 남,미래가 있는지 잘 모르겠고 회사의 방향성이 모호한느낌. 대중교통으로 출퇴근 애매함.,위에 몇몇 꼰대가 권력을 휘두르는데 경영자들은 좌시하는 느낌입니다. 보다 창의적으로 근무할수있은 환경 부탁드립니다
그냥 편하~게 다니거 싶으면 추천 근데 이것도 케바케.. 정말 급여가 적어도 너무적다,자유로운 분위기 젊다..? 지각해도 아무도 뭐라안함 그외에 글쎄.,자유로운 분위기 외에 장점 하나도 없음 특히,꼰대 경영진. 잘난척좀 그만 사람들이 왜나가는지 정말 한번 진지하게 고민좀 해보세요
"총 두번의 인터뷰 진행, 실무면접은 경력위주로 편하게 진행되었고 임원 면접은 특히 긴장된분위기로 딱딱하며 공격적인 질문들의 진행","코로나로 재택근무 문화가 아주 좋고 독서품의 업무관련 도서구매 해주고 관련 자격증 취득시 포상금 지원, 업무환경 자료 써치 문서공유가 아주 잘되어있음","사내 분위기가 너무 경직 되어있는 것, 수평적을 지향하나 수직적인 문화, 인력이탈이 너무심함 이탈로 인한 공백을 신입을 비롯한 저연차를 급성장시켜 메꿈",실무자 의견 듣지않고 철저히 리더들만의 사업목표와 진행설정 전문적이지 않음 게다가 너무 자주바뀌는 부분에 지침
개발자들이 대체로 착함. 기획자는 시키는것만 해야하는 경우도 종종있음. 기획a-z까지 다 챙겨야해서 성장엔 도움이 됨,"연차 사용이 자유로움, 여직원이 많아서 육휴 등의 눈치가 없는편",업데이트 일정 때문에 스트레스가 있음. 기획자가 해야하는 잡무가 많음,더 가치있는 서비스를 만들며 성장하고 마케팅에도 투자를 좀 더 했으면 좋겠다.
노는 사람들이 많다. 고인물들이 많다. 라인을 잘타면 된다.,재택근무 활성화로 편하게 일할수 있음. 그만큼 농땡이 부리는 놈들이 많음. 모 계열사는 ㅇ무원이라는 철밥통 별명이 생김,비전이없다. 다들 일 안하려고 하고 경력개발에 도움이 안됨. 급여가 짜다.,신규 사업 추진에 적극적인 의지를 보여줬으면 좋겠습니다.
신입에게 매우 가혹한 회사 그런데 경력은 손에서 모래알 새듯 빠져나가는 회사,반반차? 0.25일 단위로 휴가를 낼 수 있음 ㅎ 연봉 낮은 대신 워라밸이 좋음 ㅎ 이거 두개,한번 시켜보고 못하면 바로 out. 잘하는 애를 밀어줘라가 대표의 뿌리깊은 생각. 그런데 한번에 잘하는 신입은 없음.. 그런고로 매우 가혹. 또 서비스가 많아서 알툴즈같은 겅우 손은 많이 가는데 업무 성취도는 없음 제로임. 즉 포폴 쌓기도 별로인 회사,직원한테 바라지말고 경영진이나 잘하세요. 애들 워크숍 준비했는데 평가질이나하고
모든분야에서 평균 이상의 기업문화를 가지고있으나 급여는 평균이하,경영진이 그래도 젊은 문화로 가려고 하는것이 눈에 보임,차장급 젊은꼰대가 상당히 보임 감투를 쓰고 권력을 휘두르는중,더좋은 회사가 되기위해서 노력하는게 느껴집니다. 긍정적인 결과가 있길 바랍니다
대표와 인사팀장의 놀이터인듯. 똑똑한 사람들은 다 떠나고 고인물들만 남은 회사. 재직중인 직원들의 의견을 받아들이고 새로운 마인드를 고려해주세요. 떠나는 직원들의 의견을 받아들여주세요. 소프트 직원들은 함구하지 말고 적극적으로 의견을 피력해주세요.,"코로나 시기에 적극적으로 재택을 장려했습니다. 다만, 자회사들도 챙겨주시면 좋겠습니다. 자회사 상황에 따라 재택이 불가능하여 상대적 박탈감을 느꼈습니다.",인사팀 팀장이 무슨 능력이 있길래 임원들 다 제끼고 정사장님과 쿵짝이 맞는지 모르겠네요. 인사팀장이 채용한 인력이 어떤 성과를 냈는지 모르겠습니다. 그들만의 정치질이라고 밖에 생각하지 못하겠네요.,이스트소프트의 장래에 희망이 있나요? 어떤 계획이 있는건지 공유해주세요.
젊은 회사로 유명하지만 마인드는 젊지 않음 자율적인 회사인지는 반반,병특에게 좋은 회사임 다양한 분야의 자회사가 있다는 점,연차 자유로운 사용은 부서장에 따라 다름 발전가능성이 있는지 모르겠음,직원들에게 관심 좀 가지면 좋겠다 편파적인 관심으로 부작용이 있음
"윗사람 눈치봐야하는 회사, 직무에 맞는 대우를 못받는 회사, 보수적인 기업이 아닌 것 처럼 보이려고 애써 노력하지만 너무나도 수직적인 회사 분위기",1. 동료로서 좋은 사람이 많다. 서로 도와가면서 하는 선한 분위기. 2. 워라밸이 어느정도 지켜진다. 야근이 거의 없다.,1. 직무에 대한 전문성을 키우기가 어려움 2. 명확하지않은 디렉션으로 시간 허비하는 경우가 많음 3. 리더급은 자신의 이익에 맞춰서 행동하고 팀원들을 생각하지 않음 4. 자사 서비스들이 매력적이지 않으며 성장가능성이 없음 5. 효율적이지 않은 업무방식,은 딱히 없습니다.
다양한 경험을 해볼수있는 신입에게 좋은 직장.,다양한 경험을 해볼수있다. 신입이 경력쌓기 아주 좋은 직장이다.,진정한 리더가 없다. 그래서 오히려 개인역량을 키우고 경험해보기에는 더 좋을수도있다.,"회사의 방향성은 좋다고 생각함. 다만 큰틀만 있고 그안의 내용물인 회사운영(프로젝트,사람관리등)에 있어서 세세함이 부족함."
개발자에게 권한과 성장의 기회를 균등하고 꾸준히 보장해주는 직장. 경험을 쌓기에 좋은 회사,연차를 쓰는데 눈치를 보지 않는 문화. 젊은 평균연령으로 자유로운 분위기가 좋다,가끔 꼰대가 있어서 업무하는데 참 어려움을 겪을때가 있는데 참 안타까움,직원들을 진심으로 생각해주고 자신들의 이익만 챙기지 말고 정치질좀 그만
좋은 회사다. 사람이 좋다. 실략자 개발자들이 꽤 있다. 여러 사업을 하고 있어서 배울게 많다.,안정적인 수익원이 있다. 한 순간에 망할리는 없음. 코스닥 상장기업,폭발적인 점프를 할 수 있을듯한데 아직은. 곧 수직상승하길.. ㅎㅎ,좋습니다. 뭐 딱히 바라는건 없어요ㅎㅎ 잘 되길 바랍니다.
개발자가 대우받으며 일할 수 있는 곳 입니다.,실력있는 개발자는 언제든 좋은 여건에서 개발을 할 수 있도록 구조가 되있는 것 같습니다.,약간 사무실 위치가 집을 근처로 이사가기 힘든 위치입니다.,최고의 서비스를 위해 항상 노력하시는 모습이 정말 배울점이 많다고 생각합니다. 잘 부탁드립니다.
